"filename", "language", "JavaScript", "CSS", "XML", "JavaScript JSX", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Admin\Downloads\Uta_market\src\Components\home.jsx", "JavaScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 16, 48
"c:\Users\Admin\Downloads\Uta_market\src\Components\posthistorycard.css", "CSS", 0, 24, 0, 0, 0, 0, 0, 1, 9, 34
"c:\Users\Admin\Downloads\Uta_market\src\Components\posthistorycard.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 2, 3, 17
"c:\Users\Admin\Downloads\Uta_market\src\Components\sidebar.css", "CSS", 0, 63, 0, 0, 0, 0, 0, 6, 12, 81
"c:\Users\Admin\Downloads\Uta_market\src\index.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Admin\Downloads\Uta_market\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\Admin\Downloads\Uta_market\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Admin\Downloads\Uta_market\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Admin\Downloads\Uta_market\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 69, 711, 1, 876, 18235, 38, 20, 130, 366, 20446
